country_name,ladder_score,standard_error_of_ladder_score,upperwhisker,lowerwhisker,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by_log_gdp_per_capita,explained_by_social_support,explained_by_healthy_life_expectancy,explained_by_freedom_to_make_life_choices,explained_by_generosity,explained_by_perceptions_of_corruption,dystopia_+_residual,is_saarc,region
Latvia,6.212699890136719,0.041842807084321976,6.294711589813232,6.130688190460205,10.370321273803711,0.9371284246444702,66.4003677368164,0.8176073431968689,-0.05558248236775398,0.8302519917488098,1.777825117111206,1.73714280128479,1.5049731731414795,0.4051622152328491,0.580150842666626,0.10660862177610397,0.0707940086722374,1.8078765869140625,0,Central and Eastern Europe
Bahrain,6.1732001304626465,0.09994478523731232,6.369091987609863,5.97730827331543,10.775781631469727,0.8438454270362854,65.82499694824219,0.9439725875854492,0.11702514439821243,0.736698567867279,1.777825117111206,1.8825600147247314,1.2693383693695068,0.38948526978492737,0.7483083009719849,0.19922074675559998,0.13780325651168823,1.546459674835205,0,Middle East and Northern Africa
Guatemala,6.150300025939941,0.1079569160938263,6.361895561218262,5.938704490661621,9.11570930480957,0.8117339015007019,62.900001525878906,0.8559675216674805,-0.05726039409637451,0.8365757465362549,1.777825117111206,1.287179708480835,1.188223958015442,0.30978888273239136,0.6311976909637451,0.10570834577083588,0.06626451015472412,2.5619683265686035,0,Latin America and Caribbean
Kazakhstan,6.143899917602539,0.04839098080992699,6.238746166229248,6.04905366897583,10.16606616973877,0.9314469695091248,65.8017349243164,0.8532366156578064,-0.00048266377416439354,0.7214602828025818,1.777825117111206,1.6638872623443604,1.4906219244003296,0.38885146379470825,0.6275635957717896,0.13617226481437683,0.1487179398536682,1.688058853149414,0,Central and Eastern Europe
Serbia,6.143599987030029,0.07927490770816803,6.298978805541992,5.988221168518066,9.85398006439209,0.8730476498603821,67.08761596679688,0.8450360298156738,0.20399533212184906,0.816429853439331,1.777825117111206,1.551958441734314,1.3431038856506348,0.4238874316215515,0.6166508793830872,0.24588437378406525,0.08069434762001038,1.8814105987548828,0,Central and Eastern Europe
Cyprus,6.130000114440918,0.0539054311811924,6.235654830932617,6.024345397949219,10.6112060546875,0.8260807394981384,72.80194091796875,0.7238736748695374,-0.06002657115459442,0.8597859740257263,1.777825117111206,1.823535442352295,1.2244642972946167,0.5795837640762329,0.4554170072078705,0.10422416031360626,0.04963978752493858,1.893101692199707,0,Western Europe
Japan,6.129000186920166,0.041703928261995316,6.210740089416504,6.047260284423828,10.615657806396484,0.8941164612770081,74.3494644165039,0.7994951009750366,-0.2369365394115448,0.6399160623550415,1.777825117111206,1.825132131576538,1.3963241577148438,0.6217486262321472,0.5560483932495117,0.009303618222475052,0.20712538063526154,1.5133357048034668,0,Eastern Asia
Croatia,6.125,0.05713227018713951,6.2369794845581055,6.0130205154418945,10.340739250183105,0.9171806573867798,68.94998168945312,0.7571233510971069,-0.09264640510082245,0.9252828359603882,1.777825117111206,1.72653329372406,1.4545847177505493,0.4746306836605072,0.49966320395469666,0.08672208338975906,0.002726536011323333,1.8801097869873047,0,Central and Eastern Europe
Brazil,6.124599933624268,0.06485765427350998,6.251720905303955,5.99747896194458,9.58218765258789,0.836276650428772,65.74871063232422,0.8013285398483276,-0.009369962848722935,0.7376851439476013,1.777825117111206,1.4544808864593506,1.250219464302063,0.38740670680999756,0.5584881901741028,0.1314038187265396,0.1370965987443924,2.205469846725464,0,Latin America and Caribbean
El Salvador,6.121600151062012,0.06926076114177704,6.257351398468018,5.985848903656006,9.089116096496582,0.7547428011894226,65.59691619873047,0.9175320863723755,-0.10790495574474335,0.6196134686470032,1.777825117111206,1.2776421308517456,1.0442631244659424,0.38327082991600037,0.7131232619285583,0.07853514701128006,0.22166745364665985,2.403146743774414,0,Latin America and Caribbean
